pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
0,0,0.00499885,3.18756,-0.128878,1190.36,188.185,0.146118,-0.781586
0,1,0.00499885,3.18756,-0.128878,1191.01,343.131,0.457886,-0.652069
0,2,0.00499885,3.18756,-0.128878,1191.24,499.156,0.317749,-0.33609
0,3,0.00499885,3.18756,-0.128878,1191.59,655.907,0.280518,-0.150269
0,4,0.00499885,3.18756,-0.128878,1111.37,266.828,0.158447,-0.377563
0,5,0.00499885,3.18756,-0.128878,1111.59,421.954,0.228149,-0.429474
0,6,0.00499885,3.18756,-0.128878,1111.77,578.327,0.214111,-0.107483
0,7,0.00499885,3.18756,-0.128878,1112,735.518,0.220459,0.195557
0,8,0.00499885,3.18756,-0.128878,1032.24,190.671,0.0560303,-0.306625
0,9,0.00499885,3.18756,-0.128878,1032.17,345.356,0.0543213,-0.258209
0,10,0.00499885,3.18756,-0.128878,1032.21,501.057,0.111694,-0.0827942
0,11,0.00499885,3.18756,-0.128878,1032.12,657.51,-0.00183105,-0.0090332
0,12,0.00499885,3.18756,-0.128878,953.136,269.069,-0.0531006,-0.122955
0,13,0.00499885,3.18756,-0.128878,952.677,424.175,-0.274658,-0.00619507
0,14,0.00499885,3.18756,-0.128878,952.57,580.091,-0.192444,0.0499878
0,15,0.00499885,3.18756,-0.128878,952.44,736.978,-0.181274,0.242737
0,16,0.00499885,3.18756,-0.128878,874.315,193.134,-0.267273,0.00741577
0,17,0.00499885,3.18756,-0.128878,873.937,347.509,-0.186951,-0.0592957
0,18,0.00499885,3.18756,-0.128878,873.42,502.821,-0.30011,-0.0759888
0,19,0.00499885,3.18756,-0.128878,873.045,659.179,-0.324219,0.101318
0,20,0.00499885,3.18756,-0.128878,795.357,271.235,-0.267639,-0.0742493
0,21,0.00499885,3.18756,-0.128878,794.692,425.999,-0.307434,-0.0964355
0,22,0.00499885,3.18756,-0.128878,794.236,581.902,-0.198425,0.151306
0,23,0.00499885,3.18756,-0.128878,793.476,738.594,-0.45575,0.356934
0,24,0.00499885,3.18756,-0.128878,717.116,195.348,-0.346069,-0.0644836
0,25,0.00499885,3.18756,-0.128878,716.261,349.637,-0.350464,-0.00888062
0,26,0.00499885,3.18756,-0.128878,715.424,504.797,-0.402344,0.0337524
0,27,0.00499885,3.18756,-0.128878,714.664,660.817,-0.444824,0.086792
1,0,0.00514079,3.18586,-0.130527,989.653,184.844,0.141296,-0.679932
1,1,0.00514079,3.18586,-0.130527,989.732,340.112,0.37323,-0.526398
1,2,0.00514079,3.18586,-0.130527,989.536,496.374,0.284058,-0.283722
1,3,0.00514079,3.18586,-0.130527,989.411,653.402,0.221375,-0.142822
1,4,0.00514079,3.18586,-0.130527,910.391,263.628,0.163757,-0.361298
1,5,0.00514079,3.18586,-0.130527,910.102,419.097,0.202087,-0.36734
1,6,0.00514079,3.18586,-0.130527,909.785,575.746,0.161682,-0.0789795
1,7,0.00514079,3.18586,-0.130527,909.548,733.21,0.148865,0.177795
1,8,0.00514079,3.18586,-0.130527,831.516,187.417,0.0905151,-0.282272
1,9,0.00514079,3.18586,-0.130527,830.911,342.355,0.0388184,-0.264954
1,10,0.00514079,3.18586,-0.130527,830.447,498.394,0.0714722,-0.0477295
1,11,0.00514079,3.18586,-0.130527,829.877,655.18,-0.0600586,0.0509644
1,12,0.00514079,3.18586,-0.130527,752.17,266.019,-0.00750732,-0.114441
1,13,0.00514079,3.18586,-0.130527,751.191,421.43,-0.264343,0.0236511
1,14,0.00514079,3.18586,-0.130527,750.619,577.6,-0.178223,0.0386353
1,15,0.00514079,3.18586,-0.130527,750.029,734.768,-0.175476,0.20752
1,16,0.00514079,3.18586,-0.130527,673.599,190.074,-0.225769,0.0614624
1,17,0.00514079,3.18586,-0.130527,672.718,344.651,-0.153625,-0.0746155
1,18,0.00514079,3.18586,-0.130527,671.708,500.279,-0.280518,-0.0573425
1,19,0.00514079,3.18586,-0.130527,670.909,656.896,-0.268555,0.0864868
