pattern_num,pt_num,r,p,yaw,obs_x,obs_y,err_x,err_y
0,0,-0.020843,3.34336,-0.142711,968.832,157.524,0.487244,-0.48291
0,1,-0.020843,3.34336,-0.142711,965.293,313.588,0.604187,-0.31015
0,2,-0.020843,3.34336,-0.142711,961.395,470.611,0.331177,-0.0582581
0,3,-0.020843,3.34336,-0.142711,957.554,628.345,0.0830078,0.074585
0,4,-0.020843,3.34336,-0.142711,889.202,237.473,0.460815,-0.162704
0,5,-0.020843,3.34336,-0.142711,885.253,393.424,0.331482,-0.20166
0,6,-0.020843,3.34336,-0.142711,881.295,550.599,0.154663,0.133179
0,7,-0.020843,3.34336,-0.142711,877.354,708.492,-0.0459595,0.384644
0,8,-0.020843,3.34336,-0.142711,813.884,161.863,0.53125,-0.104294
0,9,-0.020843,3.34336,-0.142711,809.636,317.153,0.304504,-0.0120544
0,10,-0.020843,3.34336,-0.142711,805.518,473.386,0.16095,0.153503
0,11,-0.020843,3.34336,-0.142711,801.24,630.363,-0.190674,0.241089
0,12,-0.020843,3.34336,-0.142711,734.647,241.347,0.345337,0.053299
0,13,-0.020843,3.34336,-0.142711,730.046,396.792,-0.0823364,0.213623
0,14,-0.020843,3.34336,-0.142711,725.835,552.917,-0.174744,0.211243
0,15,-0.020843,3.34336,-0.142711,721.673,709.995,-0.274109,0.369507
0,16,-0.020843,3.34336,-0.142711,660.058,166.178,0.221191,0.160049
0,17,-0.020843,3.34336,-0.142711,655.553,320.655,0.0943604,0.144958
0,18,-0.020843,3.34336,-0.142711,650.999,475.956,-0.144226,0.0921631
0,19,-0.020843,3.34336,-0.142711,646.633,632.269,-0.256897,0.238098
0,20,-0.020843,3.34336,-0.142711,581.559,245.085,0.204285,0.0522461
0,21,-0.020843,3.34336,-0.142711,576.835,399.737,-0.000488281,0.133911
0,22,-0.020843,3.34336,-0.142711,572.255,555.334,-0.132324,0.326294
0,23,-0.020843,3.34336,-0.142711,567.616,711.711,-0.391663,0.512512
0,24,-0.020843,3.34336,-0.142711,508.037,170.2,0.215363,0.0455475
0,25,-0.020843,3.34336,-0.142711,503.146,324.056,0.0513,0.125061
0,26,-0.020843,3.34336,-0.142711,498.259,478.728,-0.185364,0.166595
0,27,-0.020843,3.34336,-0.142711,493.543,634.202,-0.329102,0.203491
1,0,-0.0208261,3.34164,-0.144433,766.893,156.576,0.369385,-0.49173
1,1,-0.0208261,3.34164,-0.144433,762.853,312.294,0.489075,-0.304749
1,2,-0.0208261,3.34164,-0.144433,758.505,468.958,0.248657,-0.0553589
1,3,-0.0208261,3.34164,-0.144433,754.237,626.315,0.0370483,0.0531006
1,4,-0.0208261,3.34164,-0.144433,687.666,236.463,0.364807,-0.117691
1,5,-0.0208261,3.34164,-0.144433,683.261,392.037,0.2724,-0.167694
1,6,-0.0208261,3.34164,-0.144433,678.836,548.798,0.0996094,0.115723
1,7,-0.0208261,3.34164,-0.144433,674.499,706.305,-0.0453491,0.33844
1,8,-0.0208261,3.34164,-0.144433,613.283,161.045,0.47467,-0.118423
1,9,-0.0208261,3.34164,-0.144433,608.553,315.928,0.265686,-0.0578918
1,10,-0.0208261,3.34164,-0.144433,603.959,471.85,0.126404,0.166779
1,11,-0.0208261,3.34164,-0.144433,599.294,628.381,-0.151978,0.174133
1,12,-0.0208261,3.34164,-0.144433,534.471,240.426,0.31311,0.0624084
1,13,-0.0208261,3.34164,-0.144433,529.394,395.481,-0.101013,0.211182
1,14,-0.0208261,3.34164,-0.144433,524.739,551.233,-0.169128,0.21051
1,15,-0.0208261,3.34164,-0.144433,520.144,707.933,-0.251099,0.359436
1,16,-0.0208261,3.34164,-0.144433,460.766,165.47,0.160126,0.123947
1,17,-0.0208261,3.34164,-0.144433,455.803,319.556,0.0724792,0.106903
1,18,-0.0208261,3.34164,-0.144433,450.788,474.47,-0.148621,0.0496826
1,19,-0.0208261,3.34164,-0.144433,446.041,630.43,-0.184174,0.220459
1,20,-0.0208261,3.34164,-0.144433,382.754,244.276,0.210907,0.0474701
1,21,-0.0208261,3.34164,-0.144433,377.54,398.492,0.00231934,0.085144
1,22,-0.0208261,3.34164,-0.144433,372.564,553.71,-0.0584412,0.286133
1,23,-0.0208261,3.34164,-0.144433,367.519,709.691,-0.277405,0.459167
1,24,-0.0208261,3.34164,-0.144433,310.131,169.626,0.189392,0.0115356
1,25,-0.0208261,3.34164,-0.144433,304.77,323.102,0.0515442,0.113159
1,26,-0.0208261,3.34164,-0.144433,299.471,477.407,-0.121094,0.184204
1,27,-0.0208261,3.34164,-0.144433,294.342,632.436,-0.221954,0.167053
2,0,-0.0210062,3.34001,-0.145454,564.614,154.784,0.21936,-0.432816
2,1,-0.0210062,3.34001,-0.145454,560.115,310.041,0.398926,-0.293732
2,2,-0.0210062,3.34001,-0.145454,555.287,466.291,0.17865,-0.0453491
2,3,-0.0210062,3.34001,-0.145454,550.592,623.243,0.0177612,0.0679932
2,4,-0.0210062,3.34001,-0.145454,485.878,234.503,0.282593,-0.0738525
2,5,-0.0210062,3.34001,-0.145454,480.982,389.611,0.205933,-0.170166
2,6,-0.0210062,3.34001,-0.145454,476.114,545.923,0.0772705,0.0820312
2,7,-0.0210062,3.34001,-0.145454,471.307,703.059,-0.0712585,0.348938
2,8,-0.0210062,3.34001,-0.145454,412.419,159.378,0.360535,-0.049942
2,9,-0.0210062,3.34001,-0.145454,407.248,313.789,0.226379,-0.033783
2,10,-0.0210062,3.34001,-0.145454,402.157,469.248,0.0847778,0.153046
2,11,-0.0210062,3.34001,-0.145454,397.026,625.35,-0.183929,0.154297
2,12,-0.0210062,3.34001,-0.145454,334.113,238.523,0.261749,0.0539246
2,13,-0.0210062,3.34001,-0.145454,328.548,393.133,-0.138336,0.19101
2,14,-0.0210062,3.34001,-0.145454,323.458,548.455,-0.157166,0.192017
2,15,-0.0210062,3.34001,-0.145454,318.455,704.717,-0.184723,0.330994
2,16,-0.0210062,3.34001,-0.145454,261.355,163.859,0.0832825,0.132278
2,17,-0.0210062,3.34001,-0.145454,255.934,317.499,0.0494385,0.110657
2,18,-0.0210062,3.34001,-0.145454,250.507,471.975,-0.0926666,0.0549011
2,19,-0.0210062,3.34001,-0.145454,245.273,627.45,-0.143387,0.176208
2,20,-0.0210062,3.34001,-0.145454,183.832,242.447,0.158203,0.00431824
2,21,-0.0210062,3.34001,-0.145454,178.201,396.214,0.0328064,0.0397949
2,22,-0.0210062,3.34001,-0.145454,172.766,550.936,-0.00672913,0.18866
2,23,-0.0210062,3.34001,-0.145454,167.321,706.504,-0.165939,0.389038
2,24,-0.0210062,3.34001,-0.145454,112.206,168.099,0.143517,-0.0128632
2,25,-0.0210062,3.34001,-0.145454,106.428,321.113,0.0987091,0.0821838
2,26,-0.0210062,3.34001,-0.145454,100.647,474.924,-0.0675354,0.110718
2,27,-0.0210062,3.34001,-0.145454,95.1062,629.517,-0.111763,0.107239
3,0,-0.0224067,3.33946,-0.148544,528.649,421.944,0.149353,-0.30249
3,1,-0.0224067,3.33946,-0.148544,524.064,578.162,0.345093,-0.175903
3,2,-0.0224067,3.33946,-0.148544,519.17,735.289,0.158813,0.0507202
3,3,-0.0224067,3.33946,-0.148544,514.348,893.04,-0.0305786,0.139221
3,4,-0.0224067,3.33946,-0.148544,449.846,501.436,0.200165,0.00610352
3,5,-0.0224067,3.33946,-0.148544,444.891,657.521,0.153534,-0.0438232
3,6,-0.0224067,3.33946,-0.148544,439.944,814.695,0.0328674,0.2146
3,7,-0.0224067,3.33946,-0.148544,435.095,972.566,-0.072937,0.434143
3,8,-0.0224067,3.33946,-0.148544,376.441,425.117,0.292908,0.00570679
3,9,-0.0224067,3.33946,-0.148544,371.163,580.54,0.130371,0.0701294
3,10,-0.0224067,3.33946,-0.148544,366.081,736.861,0.0746155,0.231323
3,11,-0.0224067,3.33946,-0.148544,360.896,893.805,-0.17453,0.259766
3,12,-0.0224067,3.33946,-0.148544,298.145,504.118,0.242401,0.155548
